year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,7,1,1,2029,212,236,2359,157,B6,915,N653JB,JFK,SFO,315,2586,20,29,2013-07-02T00:00:00Z
2013,7,1,2,2359,3,344,344,0,B6,1503,N805JB,JFK,SJU,200,1598,23,59,2013-07-02T03:00:00Z
2013,7,1,29,2245,104,151,1,110,B6,234,N348JB,JFK,BTV,66,266,22,45,2013-07-02T02:00:00Z
2013,7,1,43,2130,193,322,14,188,B6,1371,N794JB,LGA,FLL,143,1076,21,30,2013-07-02T01:00:00Z
2013,7,1,44,2150,174,300,100,120,AA,185,N324AA,JFK,LAX,297,2475,21,50,2013-07-02T01:00:00Z
2013,7,1,46,2051,235,304,2358,186,B6,165,N640JB,JFK,PDX,304,2454,20,51,2013-07-02T00:00:00Z
2013,7,1,48,2001,287,308,2305,243,VX,415,N627VA,JFK,LAX,298,2475,20,1,2013-07-02T00:00:00Z
2013,7,1,58,2155,183,335,43,172,B6,425,N535JB,JFK,TPA,140,1005,21,55,2013-07-02T01:00:00Z
2013,7,1,100,2146,194,327,30,177,B6,1183,N531JB,JFK,MCO,126,944,21,46,2013-07-02T01:00:00Z
2013,7,1,100,2245,135,337,135,122,B6,623,N663JB,JFK,LAX,304,2475,22,45,2013-07-02T02:00:00Z
2013,7,1,107,2245,142,158,2359,119,B6,1816,N249JB,JFK,SYR,39,209,22,45,2013-07-02T02:00:00Z
2013,7,1,111,2359,72,448,340,68,B6,839,N608JB,JFK,BQN,199,1576,23,59,2013-07-02T03:00:00Z
2013,7,1,114,2135,219,310,8,182,B6,611,N584JB,JFK,LAS,276,2248,21,35,2013-07-02T01:00:00Z
2013,7,1,459,500,-1,642,640,2,US,1431,N167US,EWR,CLT,87,529,5,0,2013-07-01T09:00:00Z
2013,7,1,538,540,-2,800,810,-10,UA,332,N442UA,EWR,IAH,185,1400,5,40,2013-07-01T09:00:00Z
2013,7,1,540,540,0,841,840,1,AA,701,N5ENAA,JFK,MIA,155,1089,5,40,2013-07-01T09:00:00Z
2013,7,1,543,545,-2,932,921,11,B6,939,N708JB,JFK,BQN,198,1576,5,45,2013-07-01T09:00:00Z
2013,7,1,547,548,-1,903,851,12,UA,651,N545UA,EWR,SFO,343,2565,5,48,2013-07-01T09:00:00Z
2013,7,1,548,545,3,815,819,-4,UA,1714,N14237,LGA,IAH,188,1416,5,45,2013-07-01T09:00:00Z
2013,7,1,549,600,-11,645,655,-10,US,1629,N959UW,LGA,PHL,37,96,6,0,2013-07-01T10:00:00Z
2013,7,1,551,600,-9,721,700,21,US,2114,N751UW,LGA,BOS,38,184,6,0,2013-07-01T10:00:00Z
2013,7,1,554,600,-6,707,659,8,US,2161,N752US,LGA,DCA,45,214,6,0,2013-07-01T10:00:00Z
2013,7,1,556,600,-4,820,825,-5,DL,461,N915DL,LGA,ATL,119,762,6,0,2013-07-01T10:00:00Z
