year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,5,1,9,1655,434,308,2020,408,VX,413,N628VA,JFK,LAX,341,2475,16,55,2013-05-01T20:00:00Z
2013,5,1,451,500,-9,641,640,1,US,1219,N196UW,EWR,CLT,94,529,5,0,2013-05-01T09:00:00Z
2013,5,1,537,540,-3,836,840,-4,AA,701,N5BYAA,JFK,MIA,144,1089,5,40,2013-05-01T09:00:00Z
2013,5,1,544,545,-1,818,827,-9,UA,450,N494UA,LGA,IAH,190,1416,5,45,2013-05-01T09:00:00Z
2013,5,1,548,600,-12,831,854,-23,B6,371,N523JB,LGA,FLL,140,1076,6,0,2013-05-01T10:00:00Z
2013,5,1,549,600,-11,804,810,-6,MQ,4650,N520MQ,LGA,ATL,113,762,6,0,2013-05-01T10:00:00Z
2013,5,1,553,600,-7,700,712,-12,EV,5747,N877AS,LGA,IAD,48,229,6,0,2013-05-01T10:00:00Z
2013,5,1,553,600,-7,655,701,-6,US,2114,N702UW,LGA,BOS,35,184,6,0,2013-05-01T10:00:00Z
2013,5,1,554,600,-6,731,756,-25,DL,731,N327NB,LGA,DTW,74,502,6,0,2013-05-01T10:00:00Z
2013,5,1,554,600,-6,707,725,-18,UA,635,N439UA,LGA,ORD,112,733,6,0,2013-05-01T10:00:00Z
2013,5,1,554,600,-6,649,659,-10,US,2161,N763US,LGA,DCA,41,214,6,0,2013-05-01T10:00:00Z
2013,5,1,555,600,-5,702,711,-9,EV,5716,N828AS,JFK,IAD,44,228,6,0,2013-05-01T10:00:00Z
2013,5,1,555,600,-5,819,827,-8,DL,461,N644DL,LGA,ATL,112,762,6,0,2013-05-01T10:00:00Z
2013,5,1,556,600,-4,818,835,-17,B6,517,N559JB,EWR,MCO,123,937,6,0,2013-05-01T10:00:00Z
2013,5,1,556,600,-4,655,720,-25,MQ,3768,N543MQ,EWR,ORD,103,719,6,0,2013-05-01T10:00:00Z
