year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,4,1,454,500,-6,636,640,-4,US,1843,N566UW,EWR,CLT,84,529,5,0,2013-04-01T09:00:00Z
2013,4,1,509,515,-6,743,814,-31,UA,1545,N76288,EWR,IAH,194,1400,5,15,2013-04-01T09:00:00Z
2013,4,1,526,530,-4,812,827,-15,UA,1714,N76517,LGA,IAH,206,1416,5,30,2013-04-01T09:00:00Z
2013,4,1,534,540,-6,833,850,-17,AA,1141,N5DSAA,JFK,MIA,152,1089,5,40,2013-04-01T09:00:00Z
2013,4,1,542,545,-3,914,920,-6,B6,725,N784JB,JFK,BQN,191,1576,5,45,2013-04-01T09:00:00Z
2013,4,1,543,545,-2,921,927,-6,B6,709,N590JB,JFK,SJU,202,1598,5,45,2013-04-01T09:00:00Z
2013,4,1,551,600,-9,748,659,49,US,2161,N737US,LGA,DCA,105,214,6,0,2013-04-01T10:00:00Z
2013,4,1,552,600,-8,641,701,-20,US,2114,N750UW,LGA,BOS,32,184,6,0,2013-04-01T10:00:00Z
2013,4,1,553,600,-7,725,735,-10,MQ,3768,N510MQ,EWR,ORD,121,719,6,0,2013-04-01T10:00:00Z
2013,4,1,554,600,-6,752,805,-13,EV,5020,N723EV,LGA,MEM,148,963,6,0,2013-04-01T10:00:00Z
2013,4,1,554,600,-6,850,852,-2,B6,371,N593JB,LGA,FLL,153,1076,6,0,2013-04-01T10:00:00Z
2013,4,1,555,600,-5,706,724,-18,EV,5689,N828AS,LGA,IAD,46,229,6,0,2013-04-01T10:00:00Z
2013,4,1,555,600,-5,846,910,-24,AA,707,N3ARAA,LGA,DFW,207,1389,6,0,2013-04-01T10:00:00Z
2013,4,1,555,600,-5,837,845,-8,B6,145,N779JB,JFK,PBI,147,1028,6,0,2013-04-01T10:00:00Z
2013,4,1,555,600,-5,825,830,-5,DL,461,N659DL,LGA,ATL,112,762,6,0,2013-04-01T10:00:00Z
2013,4,1,555,600,-5,913,925,-12,UA,303,N554UA,JFK,SFO,351,2586,6,0,2013-04-01T10:00:00Z
2013,4,1,555,600,-5,834,825,9,MQ,4650,N537MQ,LGA,ATL,117,762,6,0,2013-04-01T10:00:00Z
2013,4,1,555,600,-5,707,733,-26,UA,997,N481UA,LGA,ORD,119,733,6,0,2013-04-01T10:00:00Z
2013,4,1,556,600,-4,708,708,0,B6,380,N328JB,EWR,BOS,37,200,6,0,2013-04-01T10:00:00Z
2013,4,1,557,600,-3,814,815,-1,FL,345,N330AT,LGA,ATL,117,762,6,0,2013-04-01T10:00:00Z
2013,4,1,557,600,-3,745,800,-15,DL,731,N316NB,LGA,DTW,89,502,6,0,2013-04-01T10:00:00Z
