year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,10,1,447,500,-13,614,648,-34,US,1877,N538UW,EWR,CLT,69,529,5,0,2013-10-01T09:00:00Z
2013,10,1,522,517,5,735,757,-22,UA,252,N556UA,EWR,IAH,174,1400,5,17,2013-10-01T09:00:00Z
2013,10,1,536,545,-9,809,855,-46,AA,2243,N630AA,JFK,MIA,132,1089,5,45,2013-10-01T09:00:00Z
2013,10,1,539,545,-6,801,827,-26,UA,1714,N37252,LGA,IAH,172,1416,5,45,2013-10-01T09:00:00Z
2013,10,1,539,545,-6,917,933,-16,B6,1403,N789JB,JFK,SJU,186,1598,5,45,2013-10-01T09:00:00Z
2013,10,1,544,550,-6,912,932,-20,B6,939,N593JB,JFK,BQN,191,1576,5,50,2013-10-01T09:00:00Z
2013,10,1,549,600,-11,653,716,-23,EV,5716,N830AS,JFK,IAD,46,228,6,0,2013-10-01T10:00:00Z
2013,10,1,550,600,-10,648,700,-12,US,1909,N949UW,LGA,PHL,38,96,6,0,2013-10-01T10:00:00Z
2013,10,1,550,600,-10,649,659,-10,US,2167,N749US,LGA,DCA,39,214,6,0,2013-10-01T10:00:00Z
2013,10,1,551,600,-9,727,730,-3,UA,279,N415UA,EWR,ORD,117,719,6,0,2013-10-01T10:00:00Z
2013,10,1,551,600,-9,710,721,-11,UA,1029,N27722,LGA,ORD,114,733,6,0,2013-10-01T10:00:00Z
2013,10,1,551,600,-9,655,708,-13,B6,2180,N238JB,EWR,BOS,40,200,6,0,2013-10-01T10:00:00Z
2013,10,1,552,600,-8,834,905,-31,AA,1175,N3HVAA,LGA,MIA,140,1096,6,0,2013-10-01T10:00:00Z
2013,10,1,553,600,-7,829,856,-27,B6,601,N760JB,JFK,FLL,135,1069,6,0,2013-10-01T10:00:00Z
2013,10,1,553,600,-7,811,829,-18,DL,563,N961DL,LGA,ATL,105,762,6,0,2013-10-01T10:00:00Z
2013,10,1,554,600,-6,757,843,-46,UA,1014,N37427,EWR,IAH,169,1400,6,0,2013-10-01T10:00:00Z
2013,10,1,554,600,-6,831,858,-27,B6,371,N656JB,LGA,FLL,139,1076,6,0,2013-10-01T10:00:00Z
2013,10,1,555,600,-5,810,840,-30,B6,27,N580JB,EWR,MCO,117,937,6,0,2013-10-01T10:00:00Z
2013,10,1,556,600,-4,810,829,-19,EV,4137,N11539,EWR,ATL,102,746,6,0,2013-10-01T10:00:00Z
2013,10,1,556,600,-4,737,758,-21,EV,5068,N135EV,EWR,DTW,80,488,6,0,2013-10-01T10:00:00Z
2013,10,1,557,600,-3,851,923,-32,UA,303,N590UA,JFK,SFO,331,2586,6,0,2013-10-01T10:00:00Z
2013,10,1,558,600,-2,726,715,11,MQ,3267,N520MQ,EWR,ORD,111,719,6,0,2013-10-01T10:00:00Z
