year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,3,1,4,2159,125,318,56,142,B6,11,N706JB,JFK,FLL,166,1069,21,59,2013-03-02T02:00:00Z
2013,3,1,50,2358,52,526,438,48,B6,707,N794JB,JFK,SJU,198,1598,23,58,2013-03-02T04:00:00Z
2013,3,1,117,2245,152,223,2354,149,B6,608,N328JB,JFK,PWM,48,273,22,45,2013-03-02T03:00:00Z
2013,3,1,454,500,-6,633,648,-15,US,1117,N177US,EWR,CLT,79,529,5,0,2013-03-01T10:00:00Z
2013,3,1,505,515,-10,746,810,-24,UA,475,N527UA,EWR,IAH,199,1400,5,15,2013-03-01T10:00:00Z
2013,3,1,521,530,-9,813,827,-14,UA,1714,N76523,LGA,IAH,213,1416,5,30,2013-03-01T10:00:00Z
2013,3,1,537,540,-3,856,850,6,AA,1141,N5EPAA,JFK,MIA,173,1089,5,40,2013-03-01T10:00:00Z
2013,3,1,541,545,-4,1014,1023,-9,B6,725,N653JB,JFK,BQN,191,1576,5,45,2013-03-01T10:00:00Z
2013,3,1,549,600,-11,639,703,-24,US,2114,N749US,LGA,BOS,31,184,6,0,2013-03-01T11:00:00Z
2013,3,1,550,600,-10,747,801,-14,EV,4911,N760EV,EWR,DTW,89,488,6,0,2013-03-01T11:00:00Z
2013,3,1,551,559,-8,722,723,-1,EV,4608,N26549,EWR,MKE,119,725,5,59,2013-03-01T10:00:00Z
2013,3,1,551,600,-9,717,745,-28,AA,301,N3DCAA,LGA,ORD,113,733,6,0,2013-03-01T11:00:00Z
2013,3,1,551,600,-9,845,901,-16,B6,371,N566JB,LGA,FLL,155,1076,6,0,2013-03-01T11:00:00Z
2013,3,1,552,600,-8,656,735,-39,MQ,3768,N520MQ,EWR,ORD,108,719,6,0,2013-03-01T11:00:00Z
2013,3,1,554,600,-6,651,659,-8,US,2161,N755US,LGA,DCA,42,214,6,0,2013-03-01T11:00:00Z
2013,3,1,555,600,-5,715,715,0,EV,5716,N828AS,JFK,IAD,52,228,6,0,2013-03-01T11:00:00Z
2013,3,1,556,600,-4,901,849,12,B6,79,N715JB,JFK,MCO,157,944,6,0,2013-03-01T11:00:00Z
2013,3,1,557,600,-3,837,910,-33,AA,707,N3AMAA,LGA,DFW,196,1389,6,0,2013-03-01T11:00:00Z
2013,3,1,557,600,-3,706,733,-27,UA,379,N834UA,LGA,ORD,113,733,6,0,2013-03-01T11:00:00Z
2013,3,1,558,600,-2,750,759,-9,DL,731,N316US,LGA,DTW,90,502,6,0,2013-03-01T11:00:00Z
2013,3,1,558,600,-2,903,856,7,B6,507,N589JB,EWR,FLL,159,1065,6,0,2013-03-01T11:00:00Z
2013,3,1,558,605,-7,803,805,-2,MQ,4401,N713MQ,LGA,DTW,90,502,6,5,2013-03-01T11:00:00Z
2013,3,1,559,600,-1,713,708,5,B6,380,N273JB,EWR,BOS,37,200,6,0,2013-03-01T11:00:00Z
2013,3,1,559,600,-1,831,825,6,MQ,4650,N513MQ,LGA,ATL,122,762,6,0,2013-03-01T11:00:00Z
2013,3,1,600,605,-5,804,821,-17,9E,3953,N8412F,EWR,CVG,87,569,6,5,2013-03-01T11:00:00Z
2013,3,1,600,600,0,848,837,11,DL,461,N666DN,LGA,ATL,117,762,6,0,2013-03-01T11:00:00Z
2013,3,1,600,600,0,911,911,0,UA,1077,N14214,EWR,MIA,168,1085,6,0,2013-03-01T11:00:00Z
2013,3,1,600,600,0,906,925,-19,UA,303,N505UA,JFK,SFO,342,2586,6,0,2013-03-01T11:00:00Z
2013,3,1,601,605,-4,758,817,-19,EV,4603,N14570,EWR,CVG,88,569,6,5,2013-03-01T11:00:00Z
2013,3,1,601,600,1,827,815,12,FL,345,N894AT,LGA,ATL,116,762,6,0,2013-03-01T11:00:00Z
2013,3,1,601,600,1,710,730,-20,WN,815,N926WN,EWR,MDW,105,711,6,0,2013-03-01T11:00:00Z
2013,3,1,601,600,1,853,906,-13,UA,1431,N24715,EWR,DFW,206,1372,6,0,2013-03-01T11:00:00Z
2013,3,1,603,610,-7,916,910,6,AA,1895,N5DBAA,EWR,MIA,158,1085,6,10,2013-03-01T11:00:00Z
2013,3,1,603,600,3,705,740,-35,WN,254,N425LV,LGA,MDW,104,725,6,0,2013-03-01T11:00:00Z
2013,3,1,604,605,-1,926,907,19,B6,501,N706JB,JFK,FLL,175,1069,6,5,2013-03-01T11:00:00Z
2013,3,1,604,610,-6,935,918,17,B6,135,N547JB,JFK,RSW,178,1074,6,10,2013-03-01T11:00:00Z
2013,3,1,606,610,-4,749,818,-29,EV,4963,N614QX,EWR,MSP,140,1008,6,10,2013-03-01T11:00:00Z
2013,3,1,606,610,-4,706,710,-4,WN,589,N7732A,EWR,BWI,34,169,6,10,2013-03-01T11:00:00Z
