year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,8,1,12,2130,162,257,14,163,B6,1371,N618JB,LGA,FLL,149,1076,21,30,2013-08-02T01:00:00Z
2013,8,1,12,2359,13,349,350,-1,B6,745,N605JB,JFK,PSE,199,1617,23,59,2013-08-02T03:00:00Z
2013,8,1,22,2146,156,255,30,145,B6,1183,N589JB,JFK,MCO,127,944,21,46,2013-08-02T01:00:00Z
2013,8,1,26,2051,215,333,2358,215,B6,165,N520JB,JFK,PDX,342,2454,20,51,2013-08-02T00:00:00Z
2013,8,1,32,2359,33,420,344,36,B6,1503,N505JB,JFK,SJU,205,1598,23,59,2013-08-02T03:00:00Z
2013,8,1,33,2231,122,412,226,106,B6,1203,N821JB,JFK,SJU,198,1598,22,31,2013-08-02T02:00:00Z
2013,8,1,44,2245,119,342,135,127,B6,623,N507JB,JFK,LAX,328,2475,22,45,2013-08-02T02:00:00Z
2013,8,1,46,2359,47,424,340,44,B6,839,N612JB,JFK,BQN,197,1576,23,59,2013-08-02T03:00:00Z
2013,8,1,47,2255,112,154,14,100,B6,108,N324JB,JFK,PWM,49,273,22,55,2013-08-02T02:00:00Z
2013,8,1,50,2305,105,154,13,101,B6,718,N281JB,JFK,BOS,40,187,23,5,2013-08-02T03:00:00Z
2013,8,1,57,2255,122,205,19,106,B6,2002,N328JB,JFK,BUF,51,301,22,55,2013-08-02T02:00:00Z
2013,8,1,106,2245,141,159,2359,120,B6,1816,N318JB,JFK,SYR,38,209,22,45,2013-08-02T02:00:00Z
2013,8,1,459,500,-1,635,641,-6,US,1993,N155UW,EWR,CLT,77,529,5,0,2013-08-01T09:00:00Z
2013,8,1,522,515,7,730,725,5,UA,1258,N76522,EWR,DEN,229,1605,5,15,2013-08-01T09:00:00Z
2013,8,1,534,536,-2,758,806,-8,UA,1591,N73291,EWR,IAH,183,1400,5,36,2013-08-01T09:00:00Z
2013,8,1,538,545,-7,832,813,19,UA,698,N526UA,LGA,IAH,188,1416,5,45,2013-08-01T09:00:00Z
2013,8,1,540,540,0,835,840,-5,AA,701,N5ESAA,JFK,MIA,154,1089,5,40,2013-08-01T09:00:00Z
2013,8,1,544,545,-1,920,921,-1,B6,939,N827JB,JFK,BQN,194,1576,5,45,2013-08-01T09:00:00Z
2013,8,1,553,600,-7,750,752,-2,DL,731,N359NB,LGA,DTW,84,502,6,0,2013-08-01T10:00:00Z
2013,8,1,553,600,-7,805,806,-1,EV,4535,N10156,EWR,MSP,167,1008,6,0,2013-08-01T10:00:00Z
2013,8,1,553,600,-7,706,711,-5,EV,5747,N820AS,LGA,IAD,47,229,6,0,2013-08-01T10:00:00Z
2013,8,1,554,559,-5,909,902,7,UA,1574,N76517,EWR,SFO,355,2565,5,59,2013-08-01T09:00:00Z
